stfgov,stflife,stfeco,stfdem,reform,education,edulevel,male,age,edulevel.1,society,polinterest,tv,religious,ideology,family,prosp,absdate,difdate,pdwrk,unempl,hswrk,Treatment,pscores,distance,weights
5,9,3,4,1,0,3,0,54,3,6,3,2,6,7,0,0,30,30,1,0,1,Treated,0.4507108305158404,0.4507108305158404,1
6,8,5,8,0,0,4,1,21,4,10,3,1,2,5,1,0,20,-20,1,0,1,Control,0.5552544410575956,0.5552544410575956,1
4,9,3,8,0,0,5,0,53,5,3,3,2,2,3,0,0,2,-2,0,0,0,Control,0.39910484311578304,0.39910484311578304,1
2,10,6,7,1,0,5,0,70,5,6,2,3,1,8,0,0,6,6,0,0,0,Treated,0.3125030071942484,0.3125030071942484,1
5,8,6,8,1,0,1,1,50,1,6,3,2,6,7,0,0,4,4,1,0,0,Treated,0.45695438927751514,0.45695438927751514,1
3,5,0,6,0,0,6,0,28,6,3,2,0,2,3,0,0,28,-28,1,0,0,Control,0.5427783895730167,0.5427783895730167,1
4,9,3,7,0,0,6,0,41,6,8,3,1,5,3,1,1,20,-20,1,0,0,Control,0.48655269712262084,0.48655269712262084,1
6,8,6,8,1,0,3,0,47,3,8,2,2,7,4,1,1,5,5,1,0,0,Treated,0.470354422412612,0.470354422412612,1
8,8,3,8,0,0,5,1,46,5,7,3,3,2,8,1,0,14,-14,1,0,0,Control,0.40802653424205865,0.40802653424205865,1
7,8,8,7,0,0,6,0,44,6,6,3,4,4,2,0,1,19,-19,1,0,0,Control,0.40736669114450713,0.40736669114450713,1
0,10,6,4,1,0,3,1,34,3,7,3,2,2,7,0,1,15,15,0,1,0,Treated,0.49148236519495886,0.49148236519495886,1
0,10,3,8,1,1,4,1,22,4,8,3,2,0,10,1,0,3,3,1,0,0,Treated,0.4199184341122453,0.4199184341122453,1
5,9,6,9,0,0,3,1,73,3,6,4,2,7,8,0,0,25,-25,1,0,1,Control,0.35577441268963594,0.35577441268963594,1
6,9,7,10,1,1,4,1,22,4,8,3,1,7,7,0,0,51,51,1,0,0,Treated,0.4762814453293004,0.4762814453293004,1
5,10,9,9,1,0,2,0,60,2,8,2,2,2,5,0,0,44,44,1,0,0,Treated,0.3830792270339927,0.3830792270339927,1
6,7,6,8,1,0,6,0,42,6,6,3,2,6,7,0,1,54,54,1,0,0,Treated,0.49008419860538155,0.49008419860538155,1
2,5,7,6,0,0,5,0,41,5,8,2,3,4,3,1,1,15,-15,1,0,1,Control,0.4420414331266161,0.4420414331266161,1
5,10,8,5,1,0,2,1,45,2,10,1,2,0,8,0,0,53,53,0,1,0,Treated,0.4191676987836244,0.4191676987836244,1
2,7,0,0,0,0,2,1,20,2,0,4,0,3,2,1,0,4,-4,1,0,0,Control,0.5981786333400767,0.5981786333400767,1
3,10,7,10,1,0,3,0,39,3,9,3,2,0,9,0,1,8,8,1,0,1,Treated,0.48529759383547605,0.48529759383547605,1
5,10,5,9,1,0,5,1,29,5,3,2,1,0,5,1,0,30,30,0,1,0,Treated,0.49438913741043794,0.49438913741043794,1
0,10,3,3,1,0,3,0,28,3,7,2,2,2,5,0,1,2,2,1,0,0,Treated,0.5304163459083172,0.5304163459083172,1
2,7,4,7,0,0,4,1,28,4,6,1,2,1,5,1,0,11,-11,1,0,0,Control,0.48548529993852674,0.48548529993852674,1
6,8,6,10,1,0,1,0,93,1,5,2,3,3,7,0,0,10,10,0,0,1,Treated,0.2515578932596108,0.2515578932596108,1
2,9,5,8,1,0,3,1,45,3,7,3,3,5,8,1,0,34,34,1,0,0,Treated,0.4466963968782369,0.4466963968782369,1
6,10,9,3,1,0,6,0,69,6,5,3,2,9,4,0,0,6,6,1,0,0,Treated,0.37185152828604573,0.37185152828604573,1
5,10,5,5,0,0,3,0,37,3,7,1,2,2,5,0,1,6,-6,1,0,1,Control,0.4802344587139841,0.4802344587139841,1
6,9,8,9,0,0,5,1,65,5,9,4,1,6,8,0,0,7,-7,1,0,0,Control,0.38855459062470543,0.38855459062470543,1
4,8,8,5,0,0,1,1,58,1,4,3,2,5,8,0,0,6,-6,1,0,0,Control,0.4174267942755322,0.4174267942755322,1
